https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume BTC,Volume USDC
1658016000,2022-07-17 00:00:00,BTC/USDC,21187.78219366,21660.65606636,20756.84661917,20787.7298102,1230258.70109265,57.81944551
1657929600,2022-07-16 00:00:00,BTC/USDC,20823.36351768,21573.47228615,20485.13728258,21201.70267012,1000676.64416627,47.64102018
1657843200,2022-07-15 00:00:00,BTC/USDC,20570.97731096,21178.94122874,20375.29427798,20823.49527124,1472697.6919995,70.8085637
1657756800,2022-07-14 00:00:00,BTC/USDC,20212.36777038,20858.92568558,19625.29219816,20575.83182758,2127397.10149028,105.21563528
1657670400,2022-07-13 00:00:00,BTC/USDC,19331.06291229,20320.70549286,18926.0886335,20229.56012915,2444062.93395737,124.27947192
1657584000,2022-07-12 00:00:00,BTC/USDC,19935.34692094,20032.11529978,19250.68505835,19311.97144474,1020954.20813191,51.81860069
1657497600,2022-07-11 00:00:00,BTC/USDC,20824.46464332,20824.46464332,19878.62876591,19948.3621101,1256264.84363113,61.36349212
1657411200,2022-07-10 00:00:00,BTC/USDC,21582.13971568,21588.1409026,20638.82391953,20831.89226811,1135379.62168843,53.90106476
1657324800,2022-07-09 00:00:00,BTC/USDC,21589.34042853,21944.43474647,21335.85570236,21581.73698226,787297.50219226,36.38047052
1657238400,2022-07-08 00:00:00,BTC/USDC,21611.79532171,22468.41152388,21185.14818796,21607.02059634,2201950.88886389,100.96070265
1657152000,2022-07-07 00:00:00,BTC/USDC,20534.96531312,21832.2059072,20261.6268148,21611.79532172,1606466.74941676,76.39331113
1657065600,2022-07-06 00:00:00,BTC/USDC,20164.11396383,20631.91011435,19762.85605413,20538.48470794,1644700.65551926,81.20045321
1656979200,2022-07-05 00:00:00,BTC/USDC,20215.81398446,20707.99876915,19291.87350065,20166.89304015,1884315.56508877,94.26692738
1656892800,2022-07-04 00:00:00,BTC/USDC,19276.08969086,20300.0,19039.42514136,20209.1046426,1453758.17172272,73.72240665
1656806400,2022-07-03 00:00:00,BTC/USDC,19229.02247594,19600.0,18752.61403226,19287.83504203,1777202.99223555,93.02603694
1656720000,2022-07-02 00:00:00,BTC/USDC,19253.06873631,19401.36931259,18978.40209167,19219.94668215,905702.07772048,47.14206504
1656633600,2022-07-01 00:00:00,BTC/USDC,19955.83952923,20875.39071409,18975.8341915,19258.10274728,2893305.62146635,146.1226046
1656547200,2022-06-30 00:00:00,BTC/USDC,20088.38629098,20130.2963657,18600.0,19931.73336075,3226483.01766882,166.57769899
1656460800,2022-06-29 00:00:00,BTC/USDC,20246.1581254,20405.57478101,19863.08286216,20087.26606381,1447560.30112555,71.99576749
1656374400,2022-06-28 00:00:00,BTC/USDC,20715.51589782,21173.29954565,20180.99184481,20250.20680935,920959.75894966,44.5199058
1656288000,2022-06-27 00:00:00,BTC/USDC,21030.0639075,21511.44170987,20500.0,20711.371953,938165.92439736,44.62573123
1656201600,2022-06-26 00:00:00,BTC/USDC,21482.42776112,21852.66512623,20966.51108322,21032.13482957,1155843.56875815,53.89159312
1656115200,2022-06-25 00:00:00,BTC/USDC,21224.18999227,21560.4,20905.27659564,21465.73587459,668456.1812346,31.39844175
1656028800,2022-06-24 00:00:00,BTC/USDC,21089.46388004,21500.0,20731.54422562,21224.18999227,1280620.93124382,60.61012577
1655942400,2022-06-23 00:00:00,BTC/USDC,19973.9428417,21200.0,19885.71181613,21086.78213822,1614064.40674532,78.1818843
1655856000,2022-06-22 00:00:00,BTC/USDC,20693.94794389,20852.58015773,19773.33201415,19955.83906728,1403733.96798931,69.28020982
1655769600,2022-06-21 00:00:00,BTC/USDC,20534.60000001,21690.05897247,20333.60155791,20701.96188667,1499348.3157098,70.95953064
1655683200,2022-06-20 00:00:00,BTC/USDC,20551.26709368,21005.24885988,19626.2873512,20551.17942703,2914044.17094868,143.36683022
1655596800,2022-06-19 00:00:00,BTC/USDC,18956.444342,20782.29054307,17934.57563896,20555.16605291,4480785.89565868,230.41179194
1655510400,2022-06-18 00:00:00,BTC/USDC,20424.75039023,20738.62582649,17591.974501,18977.20179671,8441649.78859128,445.78117789
1655424000,2022-06-17 00:00:00,BTC/USDC,20366.7103186,21542.11095107,20220.79639402,20441.01791919,2267978.04710118,108.64299622
1655337600,2022-06-16 00:00:00,BTC/USDC,22541.532372,22935.02995998,20210.05632405,20364.93556574,2465838.37598988,115.21012923
1655251200,2022-06-15 00:00:00,BTC/USDC,22092.60839451,22722.85630008,20077.0,22553.66509001,16868080.75569549,800.74061343
1655164800,2022-06-14 00:00:00,BTC/USDC,22376.24628206,23184.06739179,20833.98050641,22113.7,8293557.18459184,380.48308728
1655078400,2022-06-13 00:00:00,BTC/USDC,26533.51527462,26837.29064692,21930.07119129,22445.68816734,12132700.46703208,505.35496205
1654992000,2022-06-12 00:00:00,BTC/USDC,28344.3903968,28498.51990185,26554.33306549,26554.33306549,2513443.79288347,91.49113306
1654905600,2022-06-11 00:00:00,BTC/USDC,29052.96587941,29404.18746759,28108.08120776,28342.46979842,2299920.85923726,80.12351864
